Listing #,Status,Location,Price,Accounts,Average Age,Screened In,Auto Vacs,Salt Systems,Income,Monthly Billing
FL1999,For Sale,Marathon (FL Keys),"$164,400",33 Res,3 years,NA,NA,88%,"$124,980 - $128,280","$13,700"
FL1966,For Sale,"REASONABLE OFFERS CONSIDERED!                                                    Fort Lauderdale, Pompano, Coral Springs, Hollywood","$76,320",60 Res,1 year,30%,15%,15%,"$71,424 - $77,424","$6,360"
FL1996,For Sale,"Plantation, Dania, Fort Lauderdale & nearby","$65,040",36 Res      2 Comm,5 years,6%,14%,28%,"$57,328 - $61,928","$5,420"
FL1965,For Sale,"Boca Raton, Boynton Beach, Delray Beach, Deerfield Beach","$86,280",66 Res,10 years,14%,8%,23%,"$80,196 - $86,796","$7,190"
FL1955,For Sale,"Palm Beach Gardens, North Palm Beach, Singer Island","$49,020",34 Res,5 years,15%,47%,41%,"$44,514 - $47,914","$4,085"
FL1983,For Sale,"Palm Beach Gardens, North Palm Beach, Jupiter","$62,520",39 Res,2 years,29%,47%,21%,"$55,464 - $59,364","$5,210"
FL1935,For Sale,"Lake Worth, Boynton Beach, Delray Beach","$90,840",61 Res,5 years,31%,10%,33%,"$81,888 - $87,988","$7,570"
FL1933,For Sale,"Port St Lucie, Fort Pierce, Jensen Beach","$60,720",47 Res,6 years,NA,NA,NA,"$56,604 - $61,304","$5,060"
FL1960,For Sale,Port St Lucie,"$52,560",36 Res,2 years,50%,14%,39%,"$47,592 - $51,194","$4,380"
FL1960A,For Sale,"Port St Lucie - trailer & Hammerhead avail for $4,100","$93,960",36 Res      3 Comm,2 years,50%,14%,30%,"$78,072 - $83,172","$7,830"
FL1982,For Sale,Port St Lucie - majority in PGA & Torino,"$110,340",83 Res,10 years,96%,36%,6%,"$102,138 - $110,438","$9,195"
,,WE WANT YOUR LISTING! Contact us for info TODAY!,,,,,,,,
